epochs,seed,model_kind,date,daily_ic
3,17,static,2024-08-05,-0.2646153846153846
3,17,static,2024-08-06,-0.31692307692307686
3,17,static,2024-08-07,-0.16846153846153847
3,17,static,2024-08-08,-0.1176923076923077
3,17,static,2024-08-09,0.22076923076923075
3,17,static,2024-08-12,0.6023076923076923
3,17,static,2024-08-13,-0.08538461538461539
3,17,static,2024-08-14,-0.0723076923076923
3,17,static,2024-08-15,-0.22153846153846157
3,17,static,2024-08-16,0.19999999999999998
3,17,static,2024-08-19,-0.31692307692307686
3,17,static,2024-08-20,0.013846153846153848
3,17,static,2024-08-21,-0.3153846153846154
3,17,static,2024-08-22,0.021538461538461538
3,17,static,2024-08-23,-0.20923076923076922
3,17,static,2024-08-26,0.16538461538461538
3,17,static,2024-08-27,-0.2407692307692308
3,17,static,2024-08-28,-0.10999999999999999
3,17,static,2024-08-29,-0.16923076923076924
3,17,static,2024-08-30,0.020769230769230772
3,17,static,2024-09-03,-0.1346153846153846
3,17,static,2024-09-04,-0.10538461538461538
3,17,static,2024-09-05,0.10615384615384615
3,17,static,2024-09-06,0.31769230769230766
3,17,static,2024-09-09,-0.2276923076923077
3,17,static,2024-09-10,0.3476923076923077
3,17,static,2024-09-11,0.4992307692307692
3,17,static,2024-09-12,-0.34384615384615386
3,17,static,2024-09-13,-0.4738461538461538
3,17,static,2024-09-16,-0.5223076923076923
3,17,static,2024-09-17,-0.5215384615384615
3,17,static,2024-09-18,-0.13384615384615384
3,17,static,2024-09-19,-0.27
3,17,static,2024-09-20,-0.13999999999999999
3,17,static,2024-09-23,0.05461538461538461
3,17,static,2024-09-24,-0.17384615384615384
3,17,static,2024-09-25,-0.22153846153846157
3,17,static,2024-09-26,0.37461538461538463
3,17,static,2024-09-27,0.06230769230769231
3,17,static,2024-09-30,-0.014615384615384615
3,17,static,2024-10-01,-0.3884615384615384
3,17,static,2024-10-02,0.40230769230769226
3,17,static,2024-10-03,-0.07307692307692308
3,17,static,2024-10-04,-0.10846153846153846
3,17,static,2024-10-07,0.013846153846153848
3,17,static,2024-10-08,0.04461538461538461
3,17,static,2024-10-09,-0.02846153846153846
3,17,static,2024-10-10,0.563076923076923
3,17,static,2024-10-11,-0.016923076923076923
3,17,static,2024-10-14,-0.10769230769230768
3,17,static,2024-10-15,-0.2561538461538462
3,17,static,2024-10-16,-0.41692307692307695
3,17,static,2024-10-17,-0.35
3,17,static,2024-10-18,-0.4138461538461538
3,17,static,2024-10-21,0.19153846153846155
3,17,static,2024-10-22,0.11615384615384615
3,17,static,2024-10-23,-0.2076923076923077
3,17,static,2024-10-24,0.21846153846153843
3,17,static,2024-10-25,-0.09999999999999999
3,17,static,2024-10-28,0.08692307692307692
3,17,static,2024-10-29,0.2538461538461539
3,17,static,2024-10-30,0.27307692307692305
3,17,static,2024-10-31,-0.38384615384615384
3,17,static,2024-11-01,-0.12538461538461537
3,17,static,2024-11-04,-0.05384615384615384
3,17,static,2024-11-05,0.12615384615384617
3,17,static,2024-11-06,0.18230769230769234
3,17,static,2024-11-07,-0.3230769230769231
3,17,static,2024-11-08,-0.4038461538461539
3,17,static,2024-11-11,-0.37615384615384617
3,17,static,2024-11-12,0.014615384615384615
3,17,static,2024-11-13,-0.24461538461538462
3,17,static,2024-11-14,-0.12923076923076923
3,17,static,2024-11-15,0.30999999999999994
3,17,static,2024-11-18,0.013076923076923076
3,17,static,2024-11-19,0.17846153846153845
3,17,static,2024-11-20,0.48
3,17,static,2024-11-21,0.29120985343457073
3,17,static,2024-11-22,0.4669230769230769
3,17,static,2024-11-25,0.30769230769230765
3,17,static,2024-11-26,0.36692307692307696
3,17,static,2024-11-27,-0.14079630958659564
3,17,static,2024-11-29,0.003076923076923077
3,17,static,2024-12-02,0.1523076923076923
3,17,static,2024-12-03,-0.46307692307692305
3,17,static,2024-12-04,-0.04692307692307692
3,17,static,2024-12-05,-0.43
3,17,static,2024-12-06,-0.3238461538461538
3,17,static,2024-12-09,-0.4338461538461538
3,17,static,2024-12-10,-0.3353846153846154
3,17,static,2024-12-11,-0.18307692307692305
3,17,static,2024-12-12,0.049999999999999996
3,17,static,2024-12-13,0.22461538461538463
3,17,static,2024-12-16,-0.013846153846153848
3,17,static,2024-12-17,0.12692307692307694
3,17,static,2024-12-18,-0.09846153846153846
3,17,static,2024-12-19,0.5184615384615384
3,17,static,2024-12-20,0.34384615384615386
3,17,concat_a:intensity_indexret,2024-08-05,0.030769230769230767
3,17,concat_a:intensity_indexret,2024-08-06,-0.25230769230769234
3,17,concat_a:intensity_indexret,2024-08-07,-0.28307692307692306
3,17,concat_a:intensity_indexret,2024-08-08,-0.3353846153846154
3,17,concat_a:intensity_indexret,2024-08-09,0.08230769230769232
3,17,concat_a:intensity_indexret,2024-08-12,-0.06230769230769231
3,17,concat_a:intensity_indexret,2024-08-13,0.23076923076923078
3,17,concat_a:intensity_indexret,2024-08-14,0.33076923076923076
3,17,concat_a:intensity_indexret,2024-08-15,0.25076923076923074
3,17,concat_a:intensity_indexret,2024-08-16,0.03461538461538462
3,17,concat_a:intensity_indexret,2024-08-19,0.09153846153846153
3,17,concat_a:intensity_indexret,2024-08-20,-0.006923076923076924
